Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
349,47.8,1000,1.2063
350,48.3,1000,1.2063
351,47.2,1000,1.2063
353,48.3,1000,1.2063
354,47.8,1000,1.2063
355,48.3,1000,1.2063
356,47.8,1000,1.2063
357,48.3,1000,1.2063
358,47.8,1000,1.2063
359,48.3,1000,1.2063
360,47.8,1000,1.2063
361,47.8,1000,1.2063
362,47.8,999,1.2063
363,47.8,1000,1.2063
364,47.8,1000,1.2063
365,48.3,1000,1.2063
366,48.9,1000,1.2063
367,47.8,1000,1.2063
368,48.3,1000,1.2063
369,48.3,1000,1.2063
370,48.3,1000,1.2063
371,48.3,1000,1.2063
373,48.9,1000,1.2063
374,48.3,1000,1.2063
375,48.3,1000,1.2063
376,48.3,1000,1.2063
377,48.3,1000,1.2063
378,48.3,1000,1.2063
379,48.3,1000,1.2063
380,48.3,1000,1.2063
381,48.3,1000,1.2063
382,48.3,1000,1.2063
383,48.3,1000,1.2063
384,48.3,1000,1.2063
385,47.8,1000,1.2063
386,48.3,1000,1.2063
387,48.3,1000,1.2063
388,48.3,1000,1.2063
389,48.3,1000,1.2063
390,48.3,1000,1.2063
391,48.3,1000,1.2063
392,48.3,1000,1.2063
394,48.3,1000,1.2063
395,48.3,1000,1.2063
396,48.3,1000,1.2063
397,48.9,1000,1.2063
398,48.3,1000,1.2063
399,48.3,1000,1.2063
400,49.4,1000,1.2063
401,48.3,1000,1.2063
402,48.9,1000,1.2063
403,48.3,1000,1.2063
404,48.9,1000,1.2063
405,48.3,1000,1.2063
406,48.9,1000,1.2063
407,49.4,1000,1.2063
408,48.3,1000,1.2063
409,49.4,1000,1.2063
410,48.3,1000,1.2063
411,48.9,1000,1.2063
413,48.9,1000,1.2063
414,49.4,999,1.2063
415,48.9,1000,1.2063
416,49.4,1000,1.2063
417,49.4,1000,1.2063
418,48.3,1000,1.2063
419,49.4,1000,1.2063
420,49.4,1000,1.2063
421,49.4,1000,1.2063
422,48.9,1000,1.2063
423,49.4,1000,1.2063
424,48.9,1000,1.2063
425,49.4,1000,1.2063
426,49.4,1000,1.2063
427,49.9,1000,1.2063
428,48.9,1000,1.2063
429,49.4,1000,1.2063
430,49.4,1000,1.2063
432,49.4,1000,1.2063
433,49.4,1000,1.2063
434,49.4,999,1.2063
435,49.4,1000,1.2063
436,49.4,1000,1.2063
437,48.9,1000,1.2063
438,49.4,1000,1.2063
439,49.4,1000,1.2063
440,49.4,1000,1.2063
441,49.4,1000,1.2063
442,49.4,1000,1.2063
443,49.4,1000,1.2063
444,49.4,1000,1.2063
445,49.4,1000,1.2063
446,49.4,1000,1.2063
447,49.4,1000,1.2063
448,49.4,1000,1.2063
449,49.4,1000,1.2063
450,49.4,1000,1.2063
451,49.4,1000,1.2063
453,49.9,1000,1.2063
454,49.9,1000,1.2063
455,49.9,1000,1.2063
456,49.4,1000,1.2063
457,49.9,1000,1.2063
458,49.4,1000,1.2063
459,49.4,1000,1.2063
460,49.9,1000,1.2063
461,49.4,1000,1.2063
462,49.4,1000,1.2063
463,49.9,1000,1.2063
464,49.9,1000,1.2063
465,49.9,1000,1.2063
466,49.9,1000,1.2063
467,49.9,1000,1.2063
468,49.9,1000,1.2063
469,49.9,1000,1.2063
470,49.9,1000,1.2063
471,50.5,1000,1.2063
472,49.9,1000,1.2063
473,49.4,1000,1.2063
475,49.9,1000,1.2063
476,50.5,1000,1.2063
477,49.4,1000,1.2063
478,50.5,1000,1.2063
479,49.9,1000,1.2063
