Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
734,46.5,1000,1.4
735,46.5,1000,1.4
736,47.6,1000,1.4
738,46.5,1000,1.4
739,47.6,1000,1.4
740,47.6,1000,1.4
741,47.6,1000,1.4
742,47.1,1000,1.4
743,47.1,1000,1.4
745,47.1,1000,1.4
746,47.1,999,1.4
747,46.5,1000,1.4
748,47.1,1000,1.4
749,47.1,1000,1.4
750,47.1,999,1.4
752,47.1,1000,1.4
753,47.1,1000,1.4
754,47.1,1000,1.4
755,46.5,1000,1.4
756,47.1,1000,1.4
757,47.1,1000,1.4
758,47.1,1000,1.4
760,47.1,999,1.4
761,47.6,1000,1.4
762,47.1,1000,1.4
763,47.6,1000,1.4
764,47.1,1000,1.4
765,47.6,1000,1.4
767,46.5,1000,1.4
768,46.5,1000,1.4
769,47.1,1000,1.4
770,46.5,1000,1.4
771,47.1,1000,1.4
772,47.1,1000,1.4
774,47.1,1000,1.4
775,47.1,1000,1.4
776,47.6,1000,1.4
777,46.5,1000,1.4
778,47.1,1000,1.4
779,47.1,1000,1.4
781,47.6,1000,1.4
782,47.1,1000,1.4
783,47.1,1000,1.4
784,47.1,1000,1.4
785,47.1,1000,1.4
786,47.1,1000,1.4
788,47.1,1000,1.4
789,47.1,1000,1.4
790,47.1,1000,1.4
791,47.1,1000,1.4
792,47.1,1000,1.4
793,46.5,1000,1.4
794,47.6,1000,1.4
796,47.1,1000,1.4
797,47.1,1000,1.4
798,47.1,1000,1.4
799,47.1,1000,1.4
800,47.1,1000,1.4
801,46.5,1000,1.4
803,47.1,1000,1.4
804,46.5,1000,1.4
805,47.1,1000,1.4
806,47.1,1000,1.4
807,47.1,1000,1.4
808,47.1,1000,1.4
810,47.1,1000,1.4
811,47.1,1000,1.4
812,46.5,1000,1.4
813,47.1,1000,1.4
814,47.6,1000,1.4
815,47.1,1000,1.4
816,47.6,1000,1.4
818,47.6,1000,1.4
819,46.5,1000,1.4
820,47.1,1000,1.4
821,47.1,1000,1.4
822,47.1,1000,1.4
823,47.1,1000,1.4
825,47.6,1000,1.4
826,47.6,1000,1.4
827,47.1,1000,1.4
828,47.1,1000,1.4
829,47.1,1000,1.4
830,47.6,1000,1.4
832,46.5,1000,1.4
833,47.1,1000,1.4
834,46.5,999,1.4
835,47.6,1000,1.4
836,46.5,1000,1.4
837,47.1,1000,1.4
838,47.6,1000,1.4
840,47.1,1000,1.4
841,46.5,1000,1.4
842,47.1,999,1.4
843,47.1,1000,1.4
844,47.1,1000,1.4
845,47.6,1000,1.4
847,47.1,1000,1.4
848,46.5,1000,1.4
849,47.1,1000,1.4
850,47.1,1000,1.4
851,47.6,1000,1.4
852,46.5,1000,1.4
854,46.5,1000,1.4
855,47.1,1000,1.4
856,47.1,1000,1.4
857,47.1,1000,1.4
858,46.5,1000,1.4
859,47.1,1000,1.4
861,47.1,1000,1.4
862,47.1,1000,1.4
863,47.1,1000,1.4
864,46.5,999,1.4
865,47.1,1000,1.4
866,46.5,1000,1.4
867,47.6,1000,1.4
869,46.5,1000,1.4
870,47.1,1000,1.4
871,47.1,1000,1.4
872,47.1,1000,1.4
873,47.6,1000,1.4
874,47.1,1000,1.4
876,47.1,999,1.4
877,46.5,1000,1.4
878,47.1,1000,1.4
879,47.6,1000,1.4
880,47.1,999,1.4
881,47.1,1000,1.4
883,46.5,1000,1.4
884,46.5,1000,1.4
885,47.6,1000,1.4
886,47.1,1000,1.4
887,47.1,1000,1.4
888,47.1,1000,1.4
889,46.5,1000,1.4
891,47.1,1000,1.4
892,47.6,1000,1.4
893,47.6,1000,1.4
894,47.1,1000,1.4
895,47.1,1000,1.4
896,47.1,1000,1.4
898,47.1,1000,1.4
899,46.5,1000,1.4
900,47.6,999,1.4
901,47.1,1000,1.4
902,47.1,1000,1.4
903,47.6,1000,1.4
905,47.1,1000,1.4
906,47.1,1000,1.4
907,47.1,1000,1.4
908,47.1,999,1.4
909,47.6,1000,1.4
910,47.1,1000,1.4
911,47.1,1000,1.4
913,47.1,1000,1.4
914,47.1,1000,1.4
915,47.1,1000,1.4
916,47.1,1000,1.4
917,47.1,1000,1.4
918,47.6,1000,1.4
920,47.1,1000,1.4
921,46.5,1000,1.4
922,47.1,1000,1.4
923,47.1,1000,1.4
924,47.6,1000,1.4
925,47.1,1000,1.4
927,47.1,1000,1.4
928,47.1,1000,1.4
929,47.1,1000,1.4
930,47.1,1000,1.4
931,47.1,1000,1.4
932,47.1,1000,1.4
933,47.1,1000,1.4
935,47.1,1000,1.4
936,47.1,1000,1.4
937,47.1,1000,1.4
938,47.6,1000,1.4
939,47.1,1000,1.4
940,47.6,999,1.4
942,47.1,1000,1.4
943,47.1,1000,1.4
944,46.5,1000,1.4
945,47.6,1000,1.4
946,47.1,1000,1.4
947,47.6,1000,1.4
949,47.1,1000,1.4
950,46.5,1000,1.4
951,47.1,1000,1.4
952,47.6,1000,1.4
953,47.1,1000,1.4
954,47.1,999,1.4
955,47.1,1000,1.4
957,47.1,1000,1.4
958,47.1,1000,1.4
959,47.1,999,1.4
960,47.1,1000,1.4
961,47.1,1000,1.4
962,47.6,1000,1.4
964,47.1,1000,1.4
965,47.1,1000,1.4
966,46.5,999,1.4
967,47.1,1000,1.4
968,46.5,999,1.4
969,47.1,1000,1.4
971,47.1,1000,1.4
972,47.1,999,1.4
973,47.1,1000,1.4
974,47.1,999,1.4
975,47.6,1000,1.4
976,47.1,1000,1.4
977,47.1,999,1.4
979,46.5,1000,1.4
980,47.1,1000,1.4
981,47.1,1000,1.4
982,47.1,1000,1.4
983,47.1,1000,1.4
984,47.1,1000,1.4
986,47.1,1000,1.4
987,47.1,1000,1.4
988,47.1,1000,1.4
989,47.1,999,1.4
990,46.5,1000,1.4
991,46.5,1000,1.4
993,47.1,1000,1.4
994,47.1,1000,1.4
995,47.1,1000,1.4
996,47.1,1000,1.4
997,47.1,1000,1.4
998,47.6,1000,1.4
999,47.1,1000,1.4
1001,47.1,1000,1.4
1002,46.5,1000,1.4
1003,47.6,1000,1.4
1004,47.6,1000,1.4
1005,47.1,1000,1.4
1006,46.5,1000,1.4
1008,47.1,1000,1.4
1009,47.6,1000,1.4
1010,47.1,1000,1.4
1011,47.1,1000,1.4
1012,47.1,1000,1.4
1013,47.1,1000,1.4
1015,47.1,1000,1.4
1016,47.1,1000,1.4
1017,47.6,1000,1.4
1018,47.1,1000,1.4
1019,47.6,1000,1.4
1020,46.5,1000,1.4
1022,47.6,999,1.4
1023,47.1,1000,1.4
1024,47.6,1000,1.4
1025,47.1,1000,1.4
1026,47.6,1000,1.4
1027,47.1,1000,1.4
1028,47.6,1000,1.4
1030,47.1,1000,1.4
1031,46.5,1000,1.4
1032,47.1,1000,1.4
1033,46.5,1000,1.4
1034,47.1,1000,1.4
1035,47.1,1000,1.4
1037,47.1,1000,1.4
1038,47.1,1000,1.4
1039,47.1,999,1.4
1040,46.5,1000,1.4
1041,47.1,1000,1.4
1042,47.1,1000,1.4
1044,47.1,1000,1.4
1045,47.6,1000,1.4
1046,47.1,1000,1.4
1047,46.5,1000,1.4
1048,47.1,1000,1.4
1049,47.6,1000,1.4
1050,47.1,999,1.4
1052,47.1,1000,1.4
1053,47.1,1000,1.4
1054,47.6,1000,1.4
1055,47.6,1000,1.4
1056,47.1,1000,1.4
1057,47.1,1000,1.4
1059,47.6,999,1.4
1060,47.1,1000,1.4
1061,47.1,1000,1.4
1062,47.1,1000,1.4
1063,46.5,1000,1.4
1064,47.6,1000,1.4
1066,47.1,1000,1.4
1067,47.6,1000,1.4
